"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_3840","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea"
"ASV_3841","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA
"ASV_3842","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium"
"ASV_3843","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_3844","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"ASV_3845","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_3846","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV_3847","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"ASV_3848","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter"
"ASV_3849","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus"
"ASV_3850","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_3851","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavihumibacter"
"ASV_3852","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group"
"ASV_3853","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA
"ASV_3854","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_3855","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV_3856","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA
"ASV_3857","Bacteria","Firmicutes","Limnochordia","Hydrogenispora",NA,NA
"ASV_3858","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_3859","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"ASV_3860","Bacteria","Desulfobacterota",NA,NA,NA,NA
"ASV_3861","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"ASV_3862","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"ASV_3863","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV_3864","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"ASV_3865","Bacteria","Firmicutes","Clostridia",NA,NA,NA
"ASV_3866","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_3867","Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA
"ASV_3868","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13",NA
"ASV_3869","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA
"ASV_3870","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage"
"ASV_3871","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_3872","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Frankia"
"ASV_3873","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA
"ASV_3874","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"ASV_3875","Bacteria","Firmicutes","Bacilli","RF39",NA,NA
"ASV_3876","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"ASV_3877","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Candidatus Berkiella"
"ASV_3878","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aminobacter"
"ASV_3879","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_3880","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales",NA,NA
